,district,area,year,rooms,value,floor,elevator,parking,warehouse
862, دکتر هوشیار,۵۸,۱۴۰۰,۱,۳٬۰۵۰٬۰۰۰٬۰۰۰,۱ از ۶,"(True,)","(True,)",True
863, باغ فیض,۷۳,۱۳۸۹,۲,۴٬۵۸۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
864, استاد معین ,۹۸,۱۳۹۲,۲,۴٬۴۱۰٬۰۰۰٬۰۰۰,۲ از ۴,"(True,)",False,False
865, جی ,۴۵,۱۳۹۳,۱,۱٬۹۵۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
866, شهر زیبا ,۶۷,۱۴۰۱,۱,۴٬۲۵۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
867, شهرک شریعتی ,۴۷,۱۳۹۲,۱,۱٬۶۵۰٬۰۰۰٬۰۰۰,۱ از ۵,"(True,)",False,False
868, سعادت‌آباد ,۱۸۵,۱۴۰۱,۳,۳۳٬۰۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
869, کوی فردوس ,۱۲۸,۱۳۹۶,۳,۸٬۶۹۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
870, هروی ,۱۱۲,۱۳۹۵,۲,۷٬۹۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
871, سعادت‌آباد ,۱۵۰,۱۴۰۰,۳,۲۵٬۱۶۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
872, کوی فردوس ,۶۵,۱۳۸۴,۱,۳٬۸۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
873, نارمک ,۱۵۲,۱۴۰۱,۳,۱۱٬۴۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
874, سعادت‌آباد ,۱۵۵,۱۳۹۶,۳,۱۹٬۰۰۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
875, شهران شمالی ,۵۹,۱۳۸۸,۲,۳٬۸۵۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
876, سعادت‌آباد ,۹۰,۱۳۹۱,۲,۸٬۳۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
877, زعفرانیه ,۲۳۰,۱۳۸۵,۳,۲۲٬۴۰۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
878, زنجان,۴۹,۱۳۸۳,۱,۲٬۵۰۰٬۰۰۰٬۰۰۰,۲ از ۴,False,False,False
879, نیاوران ,۱۳۳,۱۳۸۹,۳,۱۵٬۹۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
880, اختیاریه,۹۷,۱۳۸۰,۲,۶۰٬۱۰۰٬۰۰۰٬۰۰۰,۲,False,False,False
881, چیتگر ,۱۳۰,۱۴۰۱,۳,۲٬۲۷۵٬۰۰۰٬۰۰۰,۱۰ از ۱۰,"(True,)","(True,)",True
