date,district,area,year,room,floor,evelator,parking,warehouse,value,type
1401/09/16,اشرفی اصفهانی باغ فیض,78,19,2,3,"شوفاژ,کولر,گاز",yes,yes,3600000000,آپارتمان
1401/04/08,مجیدیه جنوبی خ استاد حسن بنا,31,17,1,3,"شوفاژ,کولر,آسانسور,گاز",,yes,1100000000,آپارتمان
1401/04/08,بزرگراه محلاتی خ غیاثی ك نظری بن بست اول,54,12,1,3,"شوفاژ,کولر,گاز",,yes,1150000000,آپارتمان
1401/09/30,وحیدیه میدان تسلیحات,92,30,2,زیرهمكف,"شوفاژ,کولر,گاز",yes,,3200000000,آپارتمان
1401/08/21,نارمك خ گاراپیدی بین آغمیونی و طاهری,87,4,2,1,"شوفاژ,کولر,آسانسور,پکیج,گاز",,yes,3700000000,آپارتمان
1401/06/19,حكیمیه سازمان آب,8,10,0,همكف,"کولر,گاز",,,525000000,مغازه
1401/04/08,پیروزی خ مقداد میدان دوم,100,6,2,4,"شوفاژ,کولر,آسانسور,گاز",yes,yes,3850000000,آپارتمان
1401/04/08,اتوبان باقری خ 196 غربی بلوار اردیبهشت شمالی,78,15,2,3,"شوفاژ,کولر,آسانسور,گاز",yes,yes,2964000000,آپارتمان
1401/08/14,پیروزی خ شكوفه,76,5,2,4,"شوفاژ,کولر,آسانسور,گاز",,yes,2300000000,آپارتمان
1401/04/08,وحیدیه میدان تسلیحات,52,12,1,4,"شوفاژ,کولر,گاز",yes,yes,1550000000,آپارتمان
1401/07/09,پیروزی بلوار ابوذر پل دوم,62,20,2,2,"شوفاژ,کولر,گاز",,,1850000000,آپارتمان
1401/04/08,نارمك میدان 87,65,7,2,1,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,3400000000,آپارتمان
1401/07/09,آیت الله كاشانی خ شقایق شمالی,82,14,2,4,"شوفاژ,کولر,گاز",,yes,4000000000,آپارتمان
1401/04/08,شهرك اكباتان فاز 2 كوی بیمه بیمه سوم,82,7,2,5,"شوفاژ,کولر,آسانسور,گاز",yes,yes,4100000000,آپارتمان
1401/04/08,امیرآباد كارگرشمالی روبروی پارك لاله,200,30,3,1,"شوفاژ,کولر,گاز",yes,,9000000000,آپارتمان
1401/09/08,ده ونك باغچه حصار خ كیومرث,85,16,1,زیرهمكف,"کولر,گاز",,,2500000000,آپارتمان
1401/04/08,تهران نو مسیل جاجرود,73,14,2,3,"شوفاژ,کولر,پکیج,گاز",yes,yes,2800000000,آپارتمان
1401/04/08,حكیمیه پگاه,123,5,3,3,"کولر,آسانسور,پکیج,گاز",yes,yes,5535000000,آپارتمان
1401/07/09,میدان امام حسین نرسیده به خ ثارالله,80,7,2,1,"شوفاژ,کولر,آسانسور,گاز",,yes,2240000000,آپارتمان
1401/04/08,تهرانپارس خ گلبرگ,988,30,16,كلی,"کولر,گاز",,,80000000000,مستغلات
1401/07/26,توحید خ گلبار,80,22,2,2,"شوفاژ,کولر,آسانسور,گاز",,,3400000000,آپارتمان
1401/09/14,تهرانپارس فلكه دوم,103,30,5,1,"شوفاژ,کولر,گاز",,,6300000000,اداری
1401/05/24,انقلاب خ نامجو,91,20,2,2,"شوفاژ,کولر,گاز",,,2300000000,آپارتمان
1401/04/08,جردن نرسیده به خ ارمغان,138,20,3,2,"شوفاژ,کولر,آسانسور,گاز",yes,yes,8556000000,آپارتمان
1401/04/29,پونك بلوار میرزا بابایی,74,نوساز,2,5,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,5800000000,آپارتمان
1401/07/30,جشنواره خ هلیسائی,264,30,6,كلی,"کولر,گاز",,yes,7500000000,مستغلات
1401/09/29,جمالزاده جنوبی نرسیده به خ دانشور,34,19,1,2,"شوفاژ,کولر,گاز",yes,,2000000000,اداری
1401/09/15,بزرگراه ارتش شهرك ابوذر,97,نوساز,2,12,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,8250000000,آپارتمان
1401/09/12,اشرفی اصفهانی باغ فیض خ صبحدوست,330,,2,كلی,گاز,,,42000000000,کلنگی
1401/08/19,جمهوری خ 12فروردین شمالی بین روانمهر و لبافی نژاد پ 205,105,,0,كلی,,,,7500000000,کلنگی
1401/09/12,نامجو خ پازوكی خ حقانی,95,نوساز,2,مختلف,"کولر,آسانسور,گاز",yes,yes,4560000000,آپارتمان
1401/09/16,نارمك میدان 86 ك دانش پنجم,70,30,1,كلی,"شوفاژ,کولر,گاز",,yes,2500000000,مستغلات
1401/09/12,نامجو خ پازوكی,110,نوساز,2,مختلف,"کولر,آسانسور,گاز",yes,yes,5280000000,آپارتمان
1401/09/12,نامجو خ پازوكی خ حقانی,100,نوساز,2,مختلف,"کولر,آسانسور,گاز",yes,yes,4800000000,آپارتمان
1401/04/08,تهرانپارس بلوار پروین,110,نوساز,2,3,"کولر,آسانسور,پکیج",yes,yes,4675000000,آپارتمان
1401/08/10,ولیعصر خ خلیل زاده,70,30,2,زیرهمكف,"کولر,آسانسور,پکیج,گاز",yes,yes,4500000000,آپارتمان
1401/09/12,نامجو خ پازوكی خ حقانی,85,نوساز,2,مختلف,"کولر,آسانسور,گاز",yes,yes,4080000000,آپارتمان
1401/07/20,حكیمیه نرسیده به بلواربهار,148,3,2,مختلف,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,7400000000,اداری
