,district,area,year,rooms,value,floor,elevator,parking,warehouse
17868, جیحون ,74,1385,2,2150000000,2,True,True,False
17869, شمس‌آباد,130,1392,2,9000000000,4,True,True,True
17870, شمس‌آباد,108,1398,2,8400000000,1,True,True,True
17871, تهران‌ویلا ,225,1400,3,21375000000,5,True,True,True
17872, پونک ,77,1385,2,5500000000,1,True,True,True
17873, دروس ,120,1390,2,12000000000,3,True,True,True
17874, پاسداران ,165,1392,3,18000000000,2,True,True,True
17875, پاسداران ,158,1396,3,18500000000,4,True,True,True
17876, میرداماد ,106,1398,2,10500000000,1,True,True,True
17877, شهر زیبا,82,1394,2,4550000000,4,True,True,True
17878, کوهک ,140,1401,3,4600000000,21,True,True,True
17879, شهرک کیانشهر ,67,1393,1,2144000000,2,True,True,True
17880, زعفرانیه ,124,1393,2,17360000000,1,True,True,True
17881, سازمان برنامه,148,1398,3,11760000000,5,True,True,True
17882, حسین‌آباد ,114,1384,2,8000000000,10,True,True,True
